locx,locy,dist,made
6,33,3,0
-123,258,28,0
-93,11,9,1
-3,27,2,0
-43,-31,5,0
211,122,24,0
8,65,6,1
-164,186,24,1
30,300,30,1
-150,205,25,0
9,41,4,0
19,52,5,0
2,4,0,1
16,259,25,0
196,175,26,1
-125,222,25,0
140,215,25,1
-7,254,25,0
-8,69,6,0
2,11,1,1
55,258,26,1
-190,164,25,1
228,62,23,0
-2,260,26,0
-6,6,0,1
3,13,1,0
137,226,26,1
23,257,25,1
-2,8,0,1
11,58,5,1
-5,11,1,0
0,8,0,1
43,250,25,0
1,15,1,1
141,287,31,0
-183,224,28,0
27,22,3,1
-16,15,2,1
-183,179,25,1
-6,40,4,0
-228,62,23,0
-22,19,2,1
-18,20,2,1
-143,243,28,0
226,119,25,0
-4,268,26,0
-147,229,27,1
23,69,7,0
-55,278,28,0
-22,9,2,1
-26,16,3,1
83,325,33,0
227,113,25,1
-82,246,25,0
-115,241,26,0
214,120,24,0
-3,154,15,0
-129,251,28,1
-18,25,3,0
38,262,26,1
-51,259,26,0
46,60,7,1
-125,251,28,0
-29,7,2,0
166,202,26,0
-47,33,5,1
-109,239,26,1
-10,6,1,1
-11,10,1,0
9,24,2,0
-11,-1,1,0
-30,10,3,1
-10,13,1,0
-3,9,0,0
-222,-32,22,0
-48,52,7,0
-174,171,24,1
19,35,3,0
-73,253,26,0
79,246,25,0
-2,43,4,1
-16,253,25,0
7,8,1,1
-33,20,3,0
-9,39,4,0
-46,71,8,1
205,146,25,0
-11,53,5,0
-125,223,25,0
-27,6,2,0
-93,254,27,1
44,252,25,1
71,159,17,0
-32,49,5,1
-33,70,7,1
-2,105,10,1
11,85,8,1
16,92,9,0
-46,37,5,1
0,268,26,0
168,196,25,1
106,228,25,0
183,178,25,0
-8,7,1,1
-41,260,26,0
131,220,25,0
-225,41,22,1
-54,21,5,1
-19,-4,1,0
93,237,25,0
-8,10,1,1
-52,84,9,1
17,78,7,1
120,243,27,0
196,157,25,1
-122,130,17,0
-120,231,26,0
1,8,0,1
-10,17,1,1
-4,13,1,1
81,256,26,0
-63,96,11,0
-97,239,25,0
-90,95,13,0
-6,-6,0,1
-35,105,11,1
158,188,24,0
-150,197,24,0
82,250,26,0
33,250,25,0
172,208,26,1
-42,251,25,1
-52,261,26,0
-19,0,1,1
89,233,24,1
-16,16,2,0
134,222,25,0
-87,239,25,0
-112,233,25,0
-197,181,26,0
193,155,24,0
40,43,5,0
55,191,19,0
-11,11,1,0
-3,252,25,0
-8,-3,0,0
8,62,6,0
0,-6,0,0
95,230,24,0
118,-14,11,0
239,0,23,1
-210,141,25,0
-1,16,1,0
22,10,2,0
203,152,25,0
-22,55,5,1
3,13,1,0
-20,3,2,1
177,210,27,1
13,266,26,0
-8,29,3,0
-60,251,25,0
237,58,24,1
16,69,7,1
-19,6,1,1
-160,252,29,0
36,8,3,1
81,264,27,0
-30,16,3,1
81,258,27,0
122,257,28,0
95,244,26,1
167,211,26,0
-33,29,4,1
-28,28,3,0
209,190,28,1
-7,8,1,0
-9,141,14,1
-14,268,26,0
-163,216,27,0
-38,19,4,1
-13,30,3,1
-57,30,6,0
0,283,28,0
-25,15,2,1
116,243,26,0
126,252,28,0
11,177,17,1
11,38,3,0
-61,254,26,1
-8,16,1,0
-5,6,0,1
3,1,0,1
239,8,23,0
100,226,24,0
3,46,4,0
15,175,17,0
36,247,24,0
0,5,0,0
-5,12,1,1
-5,42,4,1
195,145,24,0
0,68,6,1
1,266,26,0
-5,11,1,1
-4,11,1,1
101,230,25,0
44,256,25,1
-58,268,27,1
-184,224,28,0
2,3,0,1
-227,20,22,0
7,59,5,1
-110,86,13,0
-206,157,25,1
4,290,29,0
11,5,1,0
238,22,23,0
-78,37,8,0
20,7,2,0
15,41,4,1
-221,107,24,1
-2,256,25,0
9,59,5,1
-55,110,12,1
5,83,8,0
-6,-4,0,0
15,264,26,0
180,204,27,1
96,255,27,0
-4,89,8,0
-136,232,26,0
-173,190,25,1
-22,13,2,1
121,239,26,0
38,277,27,0
-14,103,10,0
12,247,24,0
-151,203,25,0
-5,9,1,0
-13,247,24,0
